Plant,R,G,B,PPFD,Time(hr),Time(day),Fresh weight (g),Dry weight (g),type
Chinese Kale,88.8889,0,11.1111,120,12,34,44.9,3.6,1
Chinese Kale,66.6667,0,33.3333,120,12,34,37,2.6,1
Lettuce ,0,0,100,200,12,20,3.4,0.62,1
Lettuce ,80,0,20,200,12,20,32.7,1.78,1
Lettuce ,88.8889,0,11.1111,200,12,20,73.78,3.44,1
Lettuce ,92.3077,0,7.6923,200,12,20,64.14,2.78,1
Lettuce ,100,0,0,200,12,20,66.08,3.43,1
Lettuce ,0,0,100,200,12,20,13.62,1.03,1
Lettuce ,80,0,20,200,12,20,82.78,4.06,1
Lettuce ,88.8889,0,11.1111,200,12,20,118.04,6.06,1
Lettuce ,92.3077,0,7.6923,200,12,20,103.86,5.37,1
Lettuce ,100,0,0,200,12,20,66.33,4.06,1
Lettuce ,16.6667,0,83.3333,90,16,20,9.4,0.44,1
Lettuce ,25,0,75,90,16,20,10.6,0.46,1
Lettuce ,50,0,50,90,16,20,10.3,0.55,1
Lettuce ,75,0,25,90,16,20,10.7,0.26,1
Lettuce ,83.3333,0,16.6667,90,16,20,10.9,0.25,1
Purple basil,66.6667,16.6667,16.6667,180,12,65,24.63,1.82,1
Purple basil,50,25,25,180,12,65,12.68,1.19,1
Purple basil,33.3333,3.3333,33.3333,180,12,65,6.09,0.62,1
Green basil,66.6667,16.6667,16.6667,180,12,65,52.75,7.94,1
Green basil,50,25,25,180,12,65,42.2,5.92,1
Green basil,33.3333,33.3333,33.3333,180,12,65,31.23,4.66,1
Vanilla,100,0,0,25,16,60,1.4312,0.1256,2
Vanilla,0,0,100,25,16,60,1.5312,0.1343,2
Vanilla,50,0,50,25,16,60,2.7642,0.2758,2
Chinese kale,0,0,100,50,12,10,58.74,5.17,1
Chinese kale,0,0,100,100,12,10,56.58,5.41,1
Chinese kale,0,0,100,150,12,10,43.33,4.2,1
Chinese Cabbage,100,0,0,80,1,60,5.93,0.73,1
Chinese Cabbage,0,0,100,80,1,60,6.67,0.49,1
Chinese Cabbage,50,0,50,80,1,60,5.28,0.53,1
