,R,G,B,Plant,Type,Hours per day, Total Days,PPFD,Plant height (cm)
2,100,0,0,Artichoke (cardoon),3,8,30,236.54,22
,100,0,0,Artichoke (GreenGlobe),3,8,30,236.54,19.5
,100,0,0,Artichoke (violetto),3,8,30,236.54,20
,0,0,100,Artichoke (cardoon),3,8,30,41.14,12.5
,0,0,100,Artichoke (GreenGlobe),3,8,30,41.14,11
,0,0,100,Artichoke (violetto),3,8,30,41.14,10
3,88.88,0,11.11,Chinese Kale,3,12,34,120,25.5
,66.66,0,33.33,Chinese Kale,3,12,34,120,23.8
4,75,0,25,Tomatoes,2,12,30,80,32
,75,0,25,Tomatoes,2,12,30,80,28
5,85,0,15,Begonia,1,16,59,160,3.78
,85,0,15,Geranium,1,16,59,160,5.4
,85,0,15,Snapdragon,1,16,59,160,6.9
,40,40,20,Begonia,1,16,59,160,3.85
,40,40,20,Geranium,1,16,59,160,5.65
,40,40,20,Snapdragon,1,16,59,160,7.2
6,63,0,37,Sida tomato,2,14,115,300,106.5
8,83,0,17,Lettuce,3,24,35,200,19.52
,91,0,9,Lettuce,3,24,35,200,19.33
,95,0,5,Lettuce,3,24,35,200,18.17
,100,0,0,Lettuce,3,24,35,200,24.33
,83,0,17,Spinach,3,24,35,200,31.35
,91,0,9,Spinach,3,24,35,200,35.6
,95,0,5,Spinach,3,24,35,200,29.83
,100,0,0,Spinach,3,24,35,200,35.17
,83,0,17,Kale,3,24,35,200,46.05
,91,0,9,Kale,3,24,35,200,46.43
,95,0,5,Kale,3,24,35,200,47.38
,100,0,0,Kale,3,24,35,200,51.63
,83,0,17,Basil,3,24,35,200,45.68
,91,0,9,Basil,3,24,35,200,47.33
,95,0,5,Basil,3,24,35,200,48.05
,100,0,0,Basil,3,24,35,200,51.12
,83,0,17,Sweet pepper,2,24,35,200,467.48
,91,0,9,Sweet pepper,2,24,35,200,492.27
,95,0,5,Sweet pepper,2,24,35,200,568.33
,100,0,0,Sweet pepper,2,24,35,200,459.42
9,16.66,0,83.33,Lettuce ,3,16,20,90,9.7
,25,0,75,Lettuce ,3,16,20,90,10.1
,50,0,50,Lettuce ,3,16,20,90,11
,75,0,25,Lettuce ,3,16,20,90,11.9
,83.33,0,16.66,Lettuce ,3,16,20,90,12.7
12,90,0,10,cucumber,2,16,15,230,7.6
13,66.66,16.66,16.66,purple basil,3,12,65,180,18.78
,50,25,25,purple basil,3,12,65,180,15
,33.33,33.33,33.33,purple basil,3,12,65,180,11.85
,66.66,16.66,16.66,green basil,3,12,65,180,26.25
,50,25,25,green basil,3,12,65,180,25.75
,33.33,33.33,33.33,green basil,3,12,65,180,24.81
15,100,0,0,potato,2,16,28,100,11.2
,0,0,100,potato,2,16,28,100,3.03
,65,0,35,potato,2,16,28,100,8.77
,45,20,35,potato,2,16,28,100,7.27
16,50,0,50,potato leaf,3,24,120,300,25.73
,0,0,100,potato leaf,3,24,120,300,28.93
,100,0,0,potato leaf,3,24,120,300,25.44
21,100,0,0,Oncidium,1,24,30,50,3.925
,90,,10,Oncidium,1,24,30,50,3.375
,80,,20,Oncidium,1,24,30,50,3.5
,70,,30,Oncidium,1,24,30,50,3.8
,0,0,100,Oncidium,1,24,30,50,2.675
,80,10,10,Oncidium,1,24,30,50,3.35
24,100,0,0,tomato,2,16,42,300,12.4
,0,0,100,tomato,2,16,42,300,10.8
,66.66,0,33.33,tomato,2,16,42,300,12
,33.33,0,66.66,tomato,2,16,42,300,11.6
,100,0,0,pepper,2,16,42,300,8.92
,0,0,100,pepper,2,16,42,300,7.48
,66.66,0,33.33,pepper,2,16,42,300,8.72
,33.33,0,66.66,pepper,2,16,42,300,7
28,24.3,45.3,30.1,pepper,2,12,36,250,11
,35.6,42.9,21.1,pepper,2,12,36,250,14.7
,76.9,1,22,pepper,2,12,36,250,12
,39.2,39.1,20.5,pepper,2,12,36,250,11
29,66.66,0,33.33,Brassica napus,3,12,15,400,10.23
,66.66,0,33.33,Brassica napus,3,12,15,300,9.7
,66.66,0,33.33,Brassica napus,3,12,15,200,8.13
30,76,0,24,Green Basil,3,16,28,220,22
,44,32,24,Green Basil,3,16,28,220,25
,74,10,16,Green Basil,3,16,28,220,22
,42,13,45,Green Basil,3,16,28,220,23
,76,0,24,Purple Basil,3,16,28,220,20
,44,32,24,Purple Basil,3,16,28,220,20
,74,10,16,Purple Basil,3,16,28,220,29
,42,13,45,Purple Basil,3,16,28,220,20.5
31,100,0,0,vanilla,1,16,60,25,4.4
,0,0,100,vanilla,1,16,60,25,3.2
,50,0,50,vanilla,1,16,60,25,4.1
32,30,0,70,mini chal tomato,2,24,21,200,12
,20,20,60,mini chal tomato,2,24,21,200,13
,20,40,40,mini chal tomato,2,24,21,200,15.2
33,100,0,0,Grape,2,16,20,50,4.494
,0,0,100,Grape,2,16,20,50,3.058
34,93,0,7,Basil,3,24,20,100,19
,70,0,30,Basil,3,24,20,100,19.5
,93,0,7,Dill,3,24,20,100,24.5
,70,0,30,Dill,3,24,20,100,24.5
,93,0,7,Parsley,3,24,20,100,20.5
,70,0,30,Parsley,3,24,20,100,19.5
39,0,0,100,Chinese kale,3,12,10,0,17.4
,0,0,100,Chinese kale,3,12,10,50,25.6
,0,0,100,Chinese kale,3,12,10,100,24.27
,0,0,100,Chinese kale,3,12,10,150,19.13
